Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
1,0.0,10.4,0.0
2,0.0,10.4,0.0
3,9.375,10.5,0.0
4,4.55,10.6,0.0
5,9.1,10.6,0.0
6,11.325,10.6,0.0
7,10.925,10.6,0.0
8,12.225,10.6,0.0
9,9.45,10.6,0.0
10,2.75,10.5,0.0
11,3.725,10.5,0.0
12,1.75,10.5,0.0
13,1.975,10.5,0.0
14,2.75,10.5,0.0
15,2.5,10.5,0.0
16,3.25,10.5,0.0
17,2.725,10.5,0.0
18,3.0,10.5,0.0
19,1.5,10.5,0.0
20,1.5,10.5,0.0
21,1.75,10.5,0.0
22,1.75,10.5,0.0
23,1.25,10.5,0.0
24,1.5,10.5,0.0
25,1.75,10.5,0.0
26,2.0,10.5,0.0
27,1.25,10.5,0.0
28,2.0,10.5,0.0
29,1.75,10.5,0.0
30,2.725,10.5,0.0
31,3.975,10.5,0.0
32,2.5,10.5,0.0
33,1.25,10.5,0.0
34,1.75,10.5,0.0
35,1.75,10.5,0.0
36,1.75,10.5,0.0
37,1.5,10.5,0.0
38,2.0,10.5,0.0
39,1.5,10.5,0.0
40,2.5,10.5,0.0
41,2.0,10.5,0.0
42,2.95,10.5,0.0
43,1.75,10.5,0.0
44,2.0,10.5,0.0
45,2.225,10.5,0.0
46,3.45,10.5,0.0
47,1.75,10.5,0.0
48,1.5,10.5,0.0
49,1.0,10.5,0.0
50,1.75,10.5,0.0
51,1.475,10.5,0.0
52,1.0,10.5,0.0
53,1.75,10.5,0.0
54,2.0,10.5,0.0
55,0.75,10.5,0.0
56,2.0,10.5,0.0
57,1.75,10.5,0.0
58,1.725,10.5,0.0
59,1.0,10.5,0.0
60,1.75,10.5,0.0
61,2.0,10.5,0.0
62,1.75,10.5,0.0
63,1.0,10.5,0.0
64,2.75,10.5,0.0
65,1.25,10.5,0.0
66,1.7,10.5,0.0
67,0.75,10.5,0.0
68,2.725,10.5,0.0
69,1.0,10.5,0.0
70,1.725,10.5,0.0
71,1.5,10.5,0.0
72,1.5,10.5,0.0
73,1.5,10.5,0.0
74,2.0,10.5,0.0
75,1.25,10.5,0.0
76,2.5,10.5,0.0
77,1.975,10.5,0.0
78,1.5,10.5,0.0
79,1.0,10.5,0.0
80,1.5,10.5,0.0
81,1.25,10.5,0.0
82,2.675,10.5,0.0
83,0.75,10.5,0.0
84,1.75,10.5,0.0
85,1.0,10.5,0.0
86,1.75,10.5,0.0
87,1.25,10.5,0.0
88,2.975,10.5,0.0
89,1.25,10.5,0.0
90,2.25,10.5,0.0
91,1.5,10.5,0.0
92,2.475,10.5,0.0
93,1.25,10.5,0.0
94,1.5,10.5,0.0
95,1.0,10.5,0.0
96,1.25,10.5,0.0
97,1.5,10.5,0.0
98,1.75,10.5,0.0
99,1.75,10.5,0.0
100,1.25,10.5,0.0
101,1.475,10.5,0.0
102,2.25,10.5,0.0
103,0.5,10.5,0.0
104,1.75,10.5,0.0
105,1.5,10.5,0.0
106,1.25,10.5,0.0
107,1.475,10.5,0.0
108,1.5,10.5,0.0
109,1.0,10.5,0.0
110,1.25,10.5,0.0
111,1.25,10.5,0.0
112,2.0,10.5,0.0
113,2.0,10.5,0.0
114,1.5,10.5,0.0
115,1.25,10.5,0.0
116,1.25,10.5,0.0
117,1.75,10.5,0.0
118,1.5,10.5,0.0
119,1.225,10.5,0.0
120,1.75,10.5,0.0
121,1.0,10.5,0.0
122,2.75,10.5,0.0
123,2.0,10.5,0.0
124,1.5,10.5,0.0
125,1.975,10.5,0.0
126,1.75,10.5,0.0
127,0.75,10.5,0.0
128,1.5,10.5,0.0
129,0.75,10.5,0.0
130,1.475,10.5,0.0
131,1.5,10.5,0.0
132,1.75,10.5,0.0
133,1.25,10.5,0.0
134,1.725,10.5,0.0
135,1.0,10.5,0.0
136,1.5,10.5,0.0
137,1.25,10.5,0.0
138,2.25,10.5,0.0
139,1.0,10.5,0.0
140,1.5,10.5,0.0
141,1.5,10.5,0.0
142,2.475,10.5,0.0
143,1.0,10.5,0.0
144,1.25,10.5,0.0
145,2.725,10.5,0.0
146,1.75,10.5,0.0
147,1.0,10.5,0.0
148,2.725,10.5,0.0
149,1.25,10.5,0.0
150,1.5,10.5,0.0
151,1.725,10.5,0.0
152,1.975,10.5,0.0
153,1.475,10.5,0.0
154,1.975,10.5,0.0
155,0.75,10.5,0.0
156,1.75,10.5,0.0
157,1.0,10.5,0.0
158,1.475,10.5,0.0
159,1.5,10.5,0.0
160,1.75,10.5,0.0
161,0.5,10.5,0.0
162,2.25,10.5,0.0
163,1.5,10.5,0.0
164,2.0,10.5,0.0
165,0.75,10.5,0.0
166,1.5,10.5,0.0
167,1.5,10.5,0.0
168,1.5,10.5,0.0
169,1.0,10.5,0.0
170,1.5,10.5,0.0
171,1.25,10.5,0.0
172,2.0,10.5,0.0
173,1.25,10.5,0.0
174,1.5,10.5,0.0
175,1.25,10.5,0.0
176,2.0,10.5,0.0
177,1.5,10.5,0.0
178,1.75,10.5,0.0
179,1.25,10.5,0.0
180,2.25,10.5,0.0
181,0.75,10.5,0.0
182,2.225,10.5,0.0
183,1.75,10.5,0.0
184,1.5,10.5,0.0
185,1.25,10.5,0.0
186,1.75,10.5,0.0
187,1.75,10.5,0.0
188,2.0,10.5,0.0
189,1.0,10.5,0.0
190,1.5,10.5,0.0
191,1.25,10.5,0.0
192,1.5,10.5,0.0
193,1.0,10.5,0.0
194,2.0,10.5,0.0
195,1.75,10.5,0.0
196,1.75,10.5,0.0
197,1.5,10.5,0.0
198,1.75,10.5,0.0
199,1.25,10.5,0.0
200,1.475,10.5,0.0
201,1.0,10.5,0.0
202,1.975,10.5,0.0
203,1.25,10.5,0.0
204,2.0,10.5,0.0
205,1.25,10.5,0.0
206,2.5,10.5,0.0
207,1.75,10.5,0.0
208,2.0,10.5,0.0
209,1.25,10.5,0.0
210,2.75,10.5,0.0
211,1.225,10.5,0.0
212,1.5,10.5,0.0
213,1.5,10.5,0.0
214,1.75,10.5,0.0
215,1.25,10.5,0.0
216,2.0,10.5,0.0
217,1.25,10.5,0.0
218,1.0,10.5,0.0
219,1.475,10.5,0.0
220,1.75,10.5,0.0
221,1.5,10.5,0.0
222,2.0,10.5,0.0
223,1.25,10.5,0.0
224,2.0,10.5,0.0
225,1.0,10.5,0.0
226,1.75,10.5,0.0
227,1.25,10.5,0.0
228,2.725,10.5,0.0
229,1.0,10.5,0.0
230,1.5,10.5,0.0
231,1.975,10.5,0.0
232,2.0,10.5,0.0
233,1.25,10.5,0.0
234,2.0,10.5,0.0
235,1.5,10.5,0.0
236,1.5,10.5,0.0
237,1.25,10.5,0.0
238,2.0,10.5,0.0
239,2.0,10.5,0.0
240,2.75,10.5,0.0
241,1.75,10.5,0.0
242,2.25,10.5,0.0
243,2.225,10.5,0.0
244,1.5,10.5,0.0
245,1.25,10.5,0.0
246,1.75,10.5,0.0
247,1.475,10.5,0.0
248,1.0,10.5,0.0
249,1.5,10.5,0.0
250,2.25,10.5,0.0
251,1.0,10.5,0.0
252,1.75,10.5,0.0
253,1.75,10.5,0.0
254,2.0,10.5,0.0
255,1.0,10.5,0.0
256,1.75,10.5,0.0
257,1.5,10.5,0.0
258,2.5,10.5,0.0
259,1.5,10.5,0.0
260,1.5,10.5,0.0
261,1.25,10.5,0.0
262,1.5,10.5,0.0
263,1.25,10.5,0.0
264,2.0,10.5,0.0
265,0.5,10.5,0.0
266,1.5,10.5,0.0
267,1.475,10.5,0.0
268,1.75,10.5,0.0
269,1.25,10.5,0.0
270,1.75,10.5,0.0
271,0.75,10.5,0.0
272,2.25,10.5,0.0
273,1.0,10.5,0.0
274,1.5,10.5,0.0
275,1.25,10.5,0.0
276,1.5,10.5,0.0
277,1.0,10.5,0.0
278,2.0,10.5,0.0
279,0.75,10.5,0.0
280,1.25,10.5,0.0
281,1.25,10.5,0.0
282,2.225,10.5,0.0
283,1.25,10.5,0.0
284,2.0,10.5,0.0
285,0.75,10.5,0.0
286,2.25,10.5,0.0
287,1.725,10.5,0.0
288,7.424999999999999,10.5,0.0
289,1.75,10.5,0.0
290,1.75,10.5,0.0
291,9.375,10.5,0.0
292,15.4,10.5,0.0
293,8.275,10.4,0.0
294,3.5,10.4,0.0
295,1.25,10.4,0.0
296,2.5,10.4,0.0
297,1.5,10.4,0.0
298,2.0,10.4,0.0
299,3.0,10.4,0.0
300,2.5,10.4,0.0
301,1.5,10.4,0.0
302,18.875,10.6,0.0
303,32.25,10.8,0.0
304,34.6,11.4,0.0
305,54.4,13.0,0.0
306,49.525,13.2,0.0
307,26.45,13.3,0.0
308,33.875,13.8,0.0
309,30.2,14.0,0.0
310,47.725,14.0,0.0
311,21.85,13.9,0.0
312,10.4,13.9,0.0
313,6.1,13.9,0.0
314,12.725,14.0,0.0
315,6.9,13.9,0.0
316,13.8,13.9,0.0
317,4.075,13.9,0.0
318,2.25,13.9,0.0
319,2.725,13.8,0.0
320,3.525,13.8,0.0
321,2.725,13.8,0.0
322,2.0,13.8,0.0
323,1.5,13.8,0.0
324,2.25,13.8,0.0
325,1.5,13.8,0.0
326,2.0,13.8,0.0
327,5.725,13.8,0.0
328,1.75,13.8,0.0
329,7.95,13.8,0.0
330,5.375,13.8,0.0
331,5.275,13.8,0.0
332,4.85,13.8,0.0
333,2.325,13.8,0.0
334,3.375,13.8,0.0
335,4.725,13.8,0.0
336,3.825,13.8,0.0
337,10.3,13.8,0.0
338,5.35,13.8,0.0
339,2.75,13.8,0.0
340,7.575,13.8,0.0
341,3.55,13.8,0.0
342,3.025,13.8,0.0
343,2.825,13.8,0.0
344,3.275,13.8,0.0
345,2.2,13.8,0.0
346,2.0,13.8,0.0
347,1.25,13.8,0.0
348,2.0,13.8,0.0
349,1.25,13.8,0.0
350,2.0,13.8,0.0
351,1.25,13.8,0.0
352,1.75,13.8,0.0
353,1.5,13.8,0.0
354,1.25,13.8,0.0
355,1.75,13.8,0.0
356,1.75,13.8,0.0
357,1.25,13.8,0.0
358,1.75,13.8,0.0
359,1.0,13.8,0.0
360,1.975,13.8,0.0
361,1.0,13.8,0.0
362,2.25,13.8,0.0
363,9.225,13.8,0.0
364,2.725,13.8,0.0
