,TOTAL_USAGE,BASE_USAGE,SERVER_USAGE,WORKFLOW_USAGE
AVERAGE_CPU_USAGE,81.35659604519773,5.089583333333334,2.9608333333333334,73.30617937853107
AVERAGE_MEMORY_USAGE,24.178502824858754,11.385000000000002,5.218333333333334,7.575169491525418
AVERAGE_DISK_USAGE,0.0,0.0,0.0,0.0
STD_CPU_USAGE,49.34935462770511,9.644735493680248,9.917930407922254,29.786688726102607
STD_MEMORY_USAGE,2.498777906952084,1.1906335848334424,0.017950549357114636,1.2901937727615271
STD_DISK_USAGE,0.0,0.0,0.0,0.0
CV_CPU_USAGE,565.103679554613,189.49951031381576,334.97091161009587,40.633257630701365
CV_MEMORY_USAGE,27.833784689867272,10.457914666960406,0.3439900866901559,17.03187993621671
CV_DISK_USAGE,0.0,0.0,0.0,0.0
MIN_CPU_USAGE,0.0,0.75,3.25,13.1
MIN_MEMORY_USAGE,10.5,11.1,16.6,16.2
MIN_DISK_USAGE,0.0,0.0,0.0,0.0
MAX_CPU_USAGE,100.0,53.525,73.9,100.0
MAX_MEMORY_USAGE,21.8,16.6,16.7,21.8
MAX_DISK_USAGE,0.0,0.0,0.0,0.0
SENT_BYTES,0.013926660642027855,2.125278115272522e-06,0.000323261134326458,0.013601274229586124
RECEIVED_BYTES,0.01563130971044302,2.8703361749649048e-06,0.0005087116733193398,0.015119727700948715
