Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
1,0.0,10.5,0.0
2,0.0,10.5,0.0
3,7.925000000000001,10.6,0.0
4,1.75,10.6,0.0
5,4.075,10.6,0.0
6,7.175,10.6,0.0
7,13.825,10.6,0.0
8,8.174999999999999,10.6,0.0
9,17.650000000000002,10.6,0.0
10,3.75,10.6,0.0
11,2.0,10.6,0.0
12,2.225,10.6,0.0
13,3.975,10.6,0.0
14,2.275,10.6,0.0
15,2.25,10.6,0.0
16,1.975,10.6,0.0
17,3.0,10.6,0.0
18,2.95,10.6,0.0
19,2.725,10.6,0.0
20,2.025,10.6,0.0
21,1.75,10.6,0.0
22,2.0,10.6,0.0
23,3.225,10.6,0.0
24,1.25,10.6,0.0
25,1.75,10.6,0.0
26,2.0,10.6,0.0
27,1.25,10.6,0.0
28,2.0,10.6,0.0
29,1.5,10.6,0.0
30,1.75,10.6,0.0
31,1.75,10.6,0.0
32,1.25,10.6,0.0
33,1.5,10.6,0.0
34,1.5,10.6,0.0
35,2.0,10.6,0.0
36,2.975,10.6,0.0
37,1.0,10.6,0.0
38,2.75,10.6,0.0
39,1.5,10.6,0.0
40,4.675000000000001,10.6,0.0
41,1.25,10.6,0.0
42,2.0,10.6,0.0
43,1.5,10.6,0.0
44,1.75,10.6,0.0
45,2.5,10.6,0.0
46,2.725,10.6,0.0
47,4.1,10.6,0.0
48,2.025,10.6,0.0
49,2.475,10.6,0.0
50,1.5,10.6,0.0
51,1.75,10.6,0.0
52,1.75,10.6,0.0
53,2.0,10.6,0.0
54,1.25,10.6,0.0
55,1.0,10.6,0.0
56,2.25,10.6,0.0
57,1.5,10.6,0.0
58,1.75,10.6,0.0
59,1.25,10.6,0.0
60,1.75,10.6,0.0
61,1.0,10.6,0.0
62,38.0,10.8,0.0
63,70.675,11.3,0.0
64,87.07499999999999,11.6,0.0
65,91.575,11.9,0.0
66,89.45000000000002,13.2,0.0
67,85.55,14.3,0.0
68,72.925,14.9,0.0
69,61.275000000000006,15.6,0.0
70,57.925,15.9,0.0
71,41.225,15.8,0.0
72,39.575,16.3,0.0
73,31.925000000000004,16.4,0.0
74,32.75,16.4,0.0
75,29.700000000000003,16.4,0.0
76,30.35,16.3,0.0
77,16.325,16.4,0.0
78,5.925,16.4,0.0
79,6.799999999999999,16.3,0.0
80,8.5,16.3,0.0
81,7.475,16.3,0.0
82,8.0,16.3,0.0
83,6.700000000000001,16.3,0.0
84,17.225,16.2,0.0
85,6.0,16.2,0.0
86,4.975,16.3,0.0
87,4.8,16.2,0.0
88,5.025,16.3,0.0
89,5.475,16.3,0.0
90,4.25,16.2,0.0
91,4.75,16.2,0.0
92,3.775,16.2,0.0
93,4.975,16.2,0.0
94,6.1,16.2,0.0
95,16.8,16.2,0.0
96,5.75,16.2,0.0
97,6.75,16.2,0.0
98,6.25,16.2,0.0
99,5.025,16.2,0.0
100,4.775,16.2,0.0
101,6.0,16.2,0.0
102,4.525,16.2,0.0
103,4.75,16.2,0.0
104,3.725,16.2,0.0
105,22.125,16.2,0.0
106,5.725,16.2,0.0
107,4.525,16.2,0.0
108,3.8,16.2,0.0
109,4.25,16.2,0.0
110,3.75,16.2,0.0
111,4.05,16.2,0.0
112,4.95,16.2,0.0
113,5.475,16.2,0.0
114,3.25,16.2,0.0
