,TOTAL_USAGE,BASE_USAGE,SERVER_USAGE,WORKFLOW_USAGE
AVERAGE_CPU_USAGE,27.545582570673172,3.3219166666666666,6.819333333333333,17.404332570673173
AVERAGE_MEMORY_USAGE,38.11465954850519,11.828999999999999,4.503000000000002,21.782659548505187
AVERAGE_DISK_USAGE,0.26623713646533254,0.0,0.0006666666666667235,0.26557046979866583
STD_CPU_USAGE,31.06729205135452,3.998960395284699,11.848730263372808,15.219601392697012
STD_MEMORY_USAGE,6.498260152107578,0.40823890064519824,1.6340469189510232,4.455974332511357
STD_DISK_USAGE,0.06467032732907586,0.0,0.008137703743823166,0.0565326235852527
CV_CPU_USAGE,381.5803489093435,120.38111718489925,173.75203240843888,87.44719931600538
CV_MEMORY_USAGE,60.19565282626854,3.4511700113720374,36.2879617799472,20.456521034949308
CV_DISK_USAGE,1241.9428016901322,0.0,1220.655561573371,21.28724011676117
MIN_CPU_USAGE,0.0,1.5,1.5,1.975
MIN_MEMORY_USAGE,11.0,11.6,15.3,16.8
MIN_DISK_USAGE,0.0,0.0,0.0,0.0
MAX_CPU_USAGE,100.0,51.1,73.45,100.0
MAX_MEMORY_USAGE,37.3,15.3,20.2,37.3
MAX_DISK_USAGE,0.6000000000000085,0.0,0.10000000000000853,0.6000000000000085
SENT_BYTES,25.650944352149963,7.735565304756165e-06,0.00041977409273386,25.650516842491925
RECEIVED_BYTES,25.195410853251815,2.764444798231125e-05,0.0005532130599021912,25.19482999574393
