Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
1,0.0,11.0,0.0
2,0.0,11.0,0.0
3,0.0,11.0,0.0
4,7.975,11.1,0.0
5,2.0,11.2,0.0
6,2.0,11.2,0.0
7,2.75,11.2,0.0
8,2.95,11.2,0.0
9,2.5,11.2,0.0
10,2.725,11.2,0.0
11,2.75,11.2,0.0
12,3.0,11.2,0.0
13,2.5,11.2,0.0
14,2.725,11.2,0.0
15,2.5,11.2,0.0
16,2.5,11.2,0.0
17,3.2,11.2,0.0
18,2.0,11.2,0.0
19,1.75,11.2,0.0
20,1.75,11.2,0.0
21,1.5,11.2,0.0
22,2.25,11.2,0.0
23,1.25,11.2,0.0
24,2.225,11.2,0.0
25,2.0,11.2,0.0
26,2.225,11.2,0.0
27,1.75,11.2,0.0
28,2.0,11.2,0.0
29,1.5,11.2,0.0
30,1.75,11.2,0.0
31,2.0,11.2,0.0
32,1.5,11.2,0.0
33,2.0,11.2,0.0
34,1.75,11.2,0.0
35,1.75,11.2,0.0
36,2.475,11.2,0.0
37,1.475,11.2,0.0
38,2.25,11.2,0.0
39,1.75,11.2,0.0
40,2.25,11.2,0.0
41,5.0,11.2,0.0
42,2.5,11.2,0.0
43,2.525,11.2,0.0
44,2.95,11.2,0.0
45,2.5,11.2,0.0
46,1.75,11.2,0.0
47,2.25,11.2,0.0
48,1.75,11.2,0.0
49,2.525,11.2,0.0
50,2.75,11.2,0.0
51,2.475,11.2,0.0
52,1.725,11.2,0.0
53,1.25,11.2,0.0
54,2.5,11.2,0.0
55,1.75,11.2,0.0
56,2.225,11.2,0.0
57,1.25,11.2,0.0
58,1.75,11.2,0.0
59,1.475,11.2,0.0
60,2.725,11.2,0.0
61,1.0,11.2,0.0
62,2.5,11.2,0.0
63,1.75,11.2,0.0
64,2.0,11.2,0.0
65,1.25,11.2,0.0
66,1.75,11.2,0.0
67,1.475,11.2,0.0
68,2.5,11.2,0.0
69,1.5,11.2,0.0
70,2.0,11.2,0.0
71,2.0,11.2,0.0
72,2.25,11.2,0.0
73,1.25,11.2,0.0
74,2.25,11.2,0.0
75,1.5,11.2,0.0
76,1.5,11.2,0.0
77,1.0,11.2,0.0
78,1.75,11.2,0.0
79,2.0,11.2,0.0
80,2.0,11.2,0.0
81,1.5,11.2,0.0
82,1.5,11.2,0.0
83,2.225,11.2,0.0
84,1.5,11.2,0.0
85,1.25,11.1,0.0
86,2.5,11.1,0.0
87,1.75,11.1,0.0
88,1.75,11.1,0.0
89,1.75,11.1,0.0
90,2.0,11.1,0.0
91,1.5,11.1,0.0
92,2.975,11.1,0.0
93,1.475,11.1,0.0
94,2.475,11.1,0.0
95,1.75,11.1,0.0
96,3.25,11.2,0.0
97,1.75,11.2,0.0
98,1.5,11.2,0.0
99,1.25,11.2,0.0
100,2.0,11.2,0.0
101,2.0,11.2,0.0
102,1.5,11.2,0.0
103,1.25,11.2,0.0
104,1.0,11.2,0.0
105,1.75,11.2,0.0
106,2.0,11.2,0.0
107,1.75,11.2,0.0
108,1.525,11.2,0.0
109,2.475,11.2,0.0
110,1.975,11.2,0.0
111,1.5,11.2,0.0
112,2.0,11.2,0.0
113,1.25,11.2,0.0
114,1.75,11.2,0.0
115,1.25,11.2,0.0
116,1.75,11.2,0.0
117,0.75,11.2,0.0
118,1.5,11.2,0.0
119,1.75,11.2,0.0
120,2.975,11.2,0.0
121,1.5,11.2,0.0
122,2.5,11.2,0.0
123,2.0,11.2,0.0
124,1.5,11.2,0.0
125,2.0,11.2,0.0
126,1.5,11.2,0.0
127,2.0,11.2,0.0
128,1.5,11.2,0.0
129,2.0,11.2,0.0
130,2.0,11.2,0.0
131,1.25,11.2,0.0
132,2.0,11.2,0.0
133,1.5,11.2,0.0
134,1.75,11.2,0.0
135,1.0,11.2,0.0
136,1.75,11.2,0.0
137,1.5,11.2,0.0
138,1.5,11.2,0.0
139,1.75,11.2,0.0
140,2.0,11.2,0.0
141,1.5,11.2,0.0
142,2.25,11.2,0.0
143,1.5,11.2,0.0
144,2.0,11.2,0.0
145,1.25,11.2,0.0
146,1.975,11.2,0.0
147,1.0,11.2,0.0
148,2.0,11.2,0.0
149,1.5,11.2,0.0
150,1.75,11.2,0.0
151,1.25,11.2,0.0
152,2.0,11.2,0.0
153,1.0,11.2,0.0
154,1.75,11.2,0.0
155,1.725,11.2,0.0
156,1.75,11.2,0.0
157,1.0,11.2,0.0
158,2.475,11.2,0.0
159,1.25,11.2,0.0
160,2.25,11.2,0.0
161,1.5,11.2,0.0
162,1.75,11.2,0.0
163,2.0,11.2,0.0
164,1.75,11.2,0.0
165,1.225,11.2,0.0
166,1.75,11.2,0.0
167,1.75,11.2,0.0
168,1.75,11.2,0.0
169,1.25,11.2,0.0
170,2.75,11.2,0.0
171,1.5,11.2,0.0
172,2.25,11.2,0.0
173,1.25,11.2,0.0
174,2.25,11.2,0.0
175,1.75,11.2,0.0
176,2.25,11.2,0.0
177,1.5,11.2,0.0
178,1.75,11.2,0.0
179,1.25,11.2,0.0
180,2.725,11.2,0.0
181,0.75,11.2,0.0
182,2.475,11.2,0.0
183,1.0,11.2,0.0
184,2.25,11.2,0.0
185,1.0,11.2,0.0
186,1.5,11.2,0.0
187,1.725,11.2,0.0
188,2.5,11.2,0.0
189,1.25,11.2,0.0
190,2.5,11.2,0.0
191,1.475,11.2,0.0
192,2.0,11.2,0.0
193,2.0,11.2,0.0
194,1.75,11.2,0.0
195,1.5,11.2,0.0
196,1.75,11.2,0.0
197,1.0,11.2,0.0
198,2.5,11.2,0.0
199,1.25,11.2,0.0
200,2.0,11.2,0.0
201,1.5,11.2,0.0
202,1.5,11.2,0.0
203,1.25,11.2,0.0
204,1.75,11.2,0.0
205,1.25,11.2,0.0
206,1.975,11.2,0.0
207,1.25,11.2,0.0
208,1.25,11.2,0.0
209,1.475,11.2,0.0
210,2.475,11.2,0.0
