,TOTAL_USAGE,BASE_USAGE,SERVER_USAGE,WORKFLOW_USAGE
AVERAGE_CPU_USAGE,62.51336206896552,1.7954166666666667,0,60.71794540229885
AVERAGE_MEMORY_USAGE,12.144827586206896,10.603333333333333,0,1.5414942528735622
AVERAGE_DISK_USAGE,0.0,0.0,0,0.0
STD_CPU_USAGE,34.61444434472693,1.2417015515233745,0,33.37274279320355
STD_MEMORY_USAGE,1.0243391789241227,0.01795054935711495,0,1.0063886295670077
STD_DISK_USAGE,0.0,0.0,0,0.0
CV_CPU_USAGE,124.1230775919027,69.15952015911114,0,54.96355743279155
CV_MEMORY_USAGE,65.45585541376443,0.1692915689133758,0,65.28656384485105
CV_DISK_USAGE,0.0,0.0,0,0.0
MIN_CPU_USAGE,0.0,0.75,0,1.25
MIN_MEMORY_USAGE,10.3,10.6,0,10.6
MIN_DISK_USAGE,0.0,0.0,0,0.0
MAX_CPU_USAGE,100.0,9.125,0,100.0
MAX_MEMORY_USAGE,14.0,10.7,0,14.0
MAX_DISK_USAGE,0.0,0.0,0,0.0
SENT_BYTES,1.3493001461029053e-05,4.1406601667404175e-06,0,9.352341294288635e-06
RECEIVED_BYTES,1.8279068171977997e-05,4.166737198829651e-06,0,1.4112330973148346e-05
