Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
1,0.0,10.3,0.0
2,0.0,10.3,0.0
3,0.0,10.3,0.0
4,6.525,10.5,0.0
5,2.25,10.5,0.0
6,3.225,10.5,0.0
7,2.975,10.5,0.0
8,2.725,10.5,0.0
9,3.0,10.5,0.0
10,2.5,10.5,0.0
11,2.0,10.5,0.0
12,4.0,10.5,0.0
13,3.475,10.5,0.0
14,3.5,10.5,0.0
15,2.975,10.5,0.0
16,3.225,10.5,0.0
17,2.975,10.5,0.0
18,3.275,10.5,0.0
19,1.25,10.5,0.0
20,2.475,10.5,0.0
21,1.5,10.5,0.0
22,1.5,10.5,0.0
23,3.25,10.5,0.0
24,1.5,10.5,0.0
25,1.5,10.5,0.0
26,1.75,10.5,0.0
27,2.475,10.5,0.0
28,1.75,10.5,0.0
29,2.475,10.5,0.0
30,2.25,10.5,0.0
31,3.0,10.5,0.0
32,1.75,10.5,0.0
33,2.775,10.5,0.0
34,1.75,10.5,0.0
35,2.25,10.5,0.0
36,1.75,10.5,0.0
37,1.75,10.5,0.0
38,1.75,10.5,0.0
39,1.5,10.5,0.0
40,1.725,10.5,0.0
41,2.225,10.5,0.0
42,1.5,10.5,0.0
43,1.75,10.5,0.0
44,1.75,10.5,0.0
45,1.5,10.5,0.0
46,2.25,10.5,0.0
47,1.5,10.5,0.0
48,1.75,10.5,0.0
49,1.25,10.5,0.0
50,2.25,10.5,0.0
51,1.5,10.5,0.0
52,1.25,10.5,0.0
53,1.25,10.5,0.0
54,1.25,10.5,0.0
55,1.0,10.5,0.0
56,1.75,10.5,0.0
57,1.25,10.5,0.0
58,2.0,10.5,0.0
59,1.25,10.5,0.0
60,1.5,10.5,0.0
61,1.5,10.5,0.0
62,1.5,10.5,0.0
63,1.25,10.5,0.0
64,1.5,10.5,0.0
65,1.5,10.5,0.0
66,1.5,10.5,0.0
67,1.25,10.5,0.0
68,1.5,10.5,0.0
69,1.0,10.5,0.0
70,2.0,10.5,0.0
71,1.475,10.5,0.0
72,1.5,10.5,0.0
73,1.25,10.5,0.0
74,2.0,10.5,0.0
75,1.25,10.5,0.0
76,1.975,10.5,0.0
77,1.25,10.5,0.0
78,1.25,10.5,0.0
79,1.25,10.5,0.0
80,1.5,10.5,0.0
81,1.25,10.5,0.0
82,2.0,10.5,0.0
83,1.25,10.5,0.0
84,1.75,10.5,0.0
85,1.75,10.5,0.0
86,1.25,10.5,0.0
87,1.25,10.5,0.0
88,1.25,10.5,0.0
89,1.75,10.5,0.0
90,5.475,10.5,0.0
91,8.85,10.5,0.0
92,10.5,10.6,0.0
93,3.0,10.6,0.0
94,2.25,10.6,0.0
95,1.5,10.6,0.0
96,1.75,10.6,0.0
97,1.0,10.6,0.0
98,2.75,10.6,0.0
99,1.0,10.6,0.0
100,2.475,10.6,0.0
101,1.75,10.6,0.0
102,1.5,10.6,0.0
103,1.5,10.6,0.0
104,1.5,10.6,0.0
105,1.0,10.6,0.0
106,1.25,10.6,0.0
107,1.25,10.6,0.0
108,1.5,10.6,0.0
109,1.25,10.6,0.0
110,2.475,10.6,0.0
111,1.25,10.6,0.0
112,1.75,10.6,0.0
113,1.0,10.6,0.0
114,1.75,10.6,0.0
115,1.975,10.6,0.0
116,1.5,10.6,0.0
117,1.25,10.6,0.0
118,2.25,10.6,0.0
119,1.5,10.6,0.0
120,2.75,10.6,0.0
121,1.25,10.6,0.0
122,6.45,10.6,0.0
123,55.3,10.8,0.0
124,47.85,11.3,0.0
125,64.35,12.2,0.0
126,42.52499999999999,12.3,0.0
127,71.925,12.7,0.0
128,69.875,13.3,0.0
129,86.52499999999999,10.9,0.0
130,99.25,13.1,0.0
131,99.0,10.8,0.0
132,97.475,12.5,0.0
133,99.0,12.3,0.0
134,99.5,13.1,0.0
135,99.75,13.2,0.0
136,98.0,12.2,0.0
137,99.0,12.3,0.0
138,99.75,13.7,0.0
139,100.0,13.9,0.0
140,100.0,13.9,0.0
141,98.5,12.0,0.0
142,99.75,13.0,0.0
143,100.0,13.8,0.0
144,100.0,13.9,0.0
145,98.75,12.8,0.0
146,99.75,13.7,0.0
147,99.5,13.7,0.0
148,99.75,14.0,0.0
149,99.25,13.0,0.0
150,98.75,13.0,0.0
151,99.75,13.6,0.0
152,98.725,13.1,0.0
153,82.225,12.9,0.0
154,77.55000000000001,10.8,0.0
155,39.2,11.2,0.0
156,28.675,11.4,0.0
157,28.625,11.2,0.0
158,28.5,11.4,0.0
159,30.0,11.0,0.0
160,28.35,11.3,0.0
161,27.45,11.5,0.0
162,27.55,11.6,0.0
163,29.625,11.6,0.0
164,28.8,11.6,0.0
165,29.025,11.7,0.0
166,39.075,11.7,0.0
167,29.675,11.7,0.0
168,28.25,11.7,0.0
169,30.525,11.8,0.0
170,36.45,11.4,0.0
171,34.325,11.8,0.0
172,27.2,11.1,0.0
173,34.45,11.6,0.0
174,27.525,10.7,0.0
175,34.7,11.5,0.0
176,27.5,11.8,0.0
177,27.975,11.4,0.0
178,33.3,11.7,0.0
179,25.175,10.7,0.0
180,4.5,10.7,0.0
181,1.5,10.7,0.0
182,2.75,10.7,0.0
183,5.725,10.7,0.0
184,4.7,10.7,0.0
185,1.25,10.7,0.0
186,2.25,10.7,0.0
187,1.75,10.7,0.0
188,1.25,10.7,0.0
189,1.75,10.7,0.0
190,2.25,10.7,0.0
191,1.0,10.7,0.0
192,2.0,10.7,0.0
193,0.75,10.7,0.0
194,2.25,10.7,0.0
195,1.25,10.7,0.0
196,1.75,10.7,0.0
197,1.75,10.7,0.0
198,1.75,10.7,0.0
199,1.25,10.7,0.0
200,1.5,10.7,0.0
201,1.0,10.7,0.0
202,2.25,10.7,0.0
203,1.25,10.7,0.0
204,2.25,10.7,0.0
205,1.0,10.7,0.0
206,2.25,10.7,0.0
207,1.5,10.7,0.0
208,2.0,10.7,0.0
209,1.475,10.7,0.0
210,2.0,10.7,0.0
211,1.25,10.7,0.0
212,1.75,10.7,0.0
213,1.75,10.7,0.0
214,1.75,10.6,0.0
215,1.25,10.6,0.0
216,1.75,10.6,0.0
217,1.25,10.6,0.0
218,1.25,10.6,0.0
219,1.475,10.6,0.0
220,2.25,10.6,0.0
221,1.25,10.6,0.0
222,1.5,10.6,0.0
223,1.0,10.6,0.0
224,3.25,10.6,0.0
225,1.0,10.6,0.0
226,2.25,10.6,0.0
227,1.0,10.6,0.0
228,1.975,10.6,0.0
229,1.25,10.6,0.0
230,1.25,10.6,0.0
231,1.5,10.6,0.0
232,1.25,10.6,0.0
233,1.5,10.6,0.0
234,1.5,10.6,0.0
235,1.25,10.6,0.0
236,1.725,10.6,0.0
237,1.25,10.6,0.0
238,1.5,10.6,0.0
239,1.475,10.6,0.0
240,3.5,10.6,0.0
241,1.25,10.6,0.0
242,1.5,10.6,0.0
243,1.0,10.6,0.0
244,2.475,10.6,0.0
245,1.0,10.6,0.0
246,2.0,10.6,0.0
247,1.0,10.6,0.0
248,1.5,10.6,0.0
249,1.25,10.6,0.0
250,1.5,10.6,0.0
251,2.225,10.6,0.0
252,1.25,10.6,0.0
253,1.25,10.6,0.0
254,2.25,10.6,0.0
255,1.25,10.6,0.0
256,2.2,10.6,0.0
257,0.75,10.6,0.0
258,1.75,10.6,0.0
259,1.0,10.6,0.0
260,1.5,10.6,0.0
261,1.0,10.6,0.0
262,1.5,10.6,0.0
263,1.0,10.6,0.0
264,1.75,10.6,0.0
265,1.75,10.6,0.0
266,5.35,10.6,0.0
267,9.125,10.7,0.0
268,4.0,10.7,0.0
269,1.5,10.6,0.0
270,2.0,10.6,0.0
271,1.25,10.6,0.0
272,2.0,10.6,0.0
273,1.25,10.6,0.0
274,2.475,10.6,0.0
275,1.0,10.6,0.0
276,3.225,10.6,0.0
277,1.75,10.6,0.0
278,1.75,10.6,0.0
279,1.25,10.6,0.0
280,1.25,10.6,0.0
281,1.25,10.6,0.0
282,1.25,10.6,0.0
283,1.25,10.6,0.0
284,2.25,10.6,0.0
285,0.75,10.6,0.0
286,1.25,10.6,0.0
287,1.725,10.6,0.0
288,1.75,10.6,0.0
289,1.0,10.6,0.0
290,1.5,10.6,0.0
291,1.225,10.6,0.0
292,1.75,10.6,0.0
293,0.75,10.6,0.0
294,2.0,10.6,0.0
295,1.5,10.6,0.0
296,2.475,10.6,0.0
297,1.0,10.6,0.0
298,2.0,10.6,0.0
