Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
1,0.0,10.7,0.0
2,0.0,10.7,0.0
3,8.25,10.9,0.0
4,2.0,10.9,0.0
5,2.75,10.9,0.0
6,2.0,10.9,0.0
7,3.0,10.9,0.0
8,2.75,10.9,0.0
9,2.25,10.9,0.0
10,1.75,10.9,0.0
11,1.75,10.9,0.0
12,2.0,10.9,0.0
13,2.0,10.9,0.0
14,2.725,10.9,0.0
15,2.0,10.9,0.0
16,2.475,10.9,0.0
17,1.25,10.9,0.0
18,1.5,10.9,0.0
19,2.75,10.9,0.0
20,2.975,10.9,0.0
21,2.5,10.9,0.0
22,1.5,10.9,0.0
23,2.5,10.9,0.0
24,1.75,10.9,0.0
25,2.0,10.9,0.0
26,2.25,10.9,0.0
27,1.5,10.9,0.0
28,1.5,10.9,0.0
29,1.75,10.9,0.0
30,1.75,10.9,0.0
31,4.45,10.9,0.0
32,1.25,10.9,0.0
33,3.0,10.9,0.0
34,2.975,10.9,0.0
35,1.5,10.9,0.0
36,2.25,10.9,0.0
37,2.25,10.9,0.0
38,2.25,10.9,0.0
39,2.725,10.9,0.0
40,2.25,10.9,0.0
41,2.225,10.9,0.0
42,1.75,10.9,0.0
43,2.5,10.9,0.0
44,3.225,10.9,0.0
45,1.5,10.9,0.0
46,1.75,10.9,0.0
47,1.75,10.9,0.0
48,1.5,10.9,0.0
49,1.5,10.9,0.0
50,1.5,10.9,0.0
51,2.225,10.9,0.0
52,1.75,10.9,0.0
53,1.5,10.9,0.0
54,1.75,10.9,0.0
55,1.5,10.9,0.0
56,1.25,10.9,0.0
57,1.25,10.9,0.0
58,1.0,10.9,0.0
59,2.25,10.9,0.0
60,1.475,10.9,0.0
61,1.75,10.9,0.0
62,1.5,10.9,0.0
63,2.0,10.9,0.0
64,1.5,10.9,0.0
65,1.0,10.9,0.0
66,1.5,10.9,0.0
67,1.25,10.9,0.0
68,1.75,10.9,0.0
69,1.75,10.9,0.0
70,1.0,10.9,0.0
71,1.75,10.9,0.0
72,1.75,10.9,0.0
73,2.25,10.9,0.0
74,2.225,10.9,0.0
75,4.025,10.9,0.0
76,3.275,10.9,0.0
77,1.25,10.9,0.0
78,1.95,10.9,0.0
79,2.0,10.9,0.0
80,1.25,10.9,0.0
81,2.25,10.9,0.0
82,1.0,10.9,0.0
83,1.5,10.9,0.0
84,1.25,10.9,0.0
85,1.5,10.9,0.0
86,1.975,10.9,0.0
87,2.0,10.9,0.0
88,1.25,10.9,0.0
89,1.5,10.9,0.0
90,1.5,10.9,0.0
91,2.0,10.9,0.0
92,1.25,10.9,0.0
93,2.5,10.9,0.0
94,1.75,10.9,0.0
95,2.225,10.9,0.0
96,1.25,10.9,0.0
97,2.0,10.9,0.0
98,1.25,10.9,0.0
99,1.5,10.9,0.0
100,1.0,10.9,0.0
101,2.0,10.9,0.0
102,1.25,10.9,0.0
103,2.25,10.9,0.0
104,1.25,10.9,0.0
105,2.5,10.9,0.0
106,0.75,10.9,0.0
107,1.5,10.9,0.0
108,1.975,10.9,0.0
109,1.25,10.9,0.0
110,1.75,10.9,0.0
111,2.25,10.9,0.0
112,1.25,10.9,0.0
113,2.25,10.9,0.0
114,1.0,10.9,0.0
115,1.75,10.9,0.0
116,1.25,10.9,0.0
117,1.75,10.9,0.0
118,1.25,10.9,0.0
119,2.25,10.9,0.0
120,0.5,10.9,0.0
121,2.975,10.9,0.0
122,1.5,10.9,0.0
123,1.5,10.9,0.0
124,1.25,10.9,0.0
125,1.5,10.9,0.0
126,1.0,10.9,0.0
127,2.25,10.9,0.0
128,1.25,10.9,0.0
129,1.5,10.9,0.0
130,1.5,10.9,0.0
131,2.5,10.9,0.0
132,1.25,10.9,0.0
133,1.75,10.9,0.0
134,1.25,10.9,0.0
135,2.0,10.9,0.0
136,1.0,10.9,0.0
137,1.75,10.9,0.0
138,1.25,10.9,0.0
139,1.75,10.9,0.0
140,1.75,10.9,0.0
141,1.5,10.9,0.0
142,1.25,10.9,0.0
143,1.5,10.9,0.0
144,1.25,10.9,0.0
145,1.725,10.9,0.0
146,0.75,10.9,0.0
147,1.5,10.9,0.0
148,1.75,10.9,0.0
149,1.75,10.9,0.0
150,1.25,10.9,0.0
151,2.475,10.9,0.0
152,1.5,10.9,0.0
153,1.5,10.9,0.0
154,1.25,10.9,0.0
155,1.5,10.9,0.0
156,1.5,10.9,0.0
